provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id,
enter,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
active replication occurs in,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
attached,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
Crossbreeding,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
drinking,,eats,http://purl.obolibrary.org/obo/RO_0002470,
Colony collapse due to infestation,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
fight over nest of,,adjacentTo,http://purl.obolibrary.org/obo/RO_0002220,
phoretic on,,commensually interacts with,http://purl.obolibrary.org/obo/RO_0002441,
pseudocopulation of,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
perches on,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
clinging to for transport into nest,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
clinging to,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
parasitized by,,hasParasite,http://purl.obolibrary.org/obo/RO_0002444,
collects pollen from,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622,
unaffected by prescence of,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
sensitive to prescence of,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
found in nest,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
sleeping with,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
skittish to,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437,
patrolling and landing close to nest hole of,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
nectaring on,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622,
knocking out of,,aggressive behavior,http://purl.obolibrary.org/obo/GO_0002118,
necturing on,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622,
nectar stealing of,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622,
inhabiting nest of,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
infiltrating nest of,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
found near puparial cases,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
excavated from nest,,hasHost,http://purl.obolibrary.org/obo/RO_0002454,
collects from,,visitsFlowersOf,http://purl.obolibrary.org/obo/RO_0002622,
