interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceVerbatimName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	sourceLifeStageName	sourceAssociatedSequences	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetVerbatimName	targetFamilyName	targetCommonName	targetLifeStageName	targetAssociatedSequences	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	eventTime	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
373	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699662	Anthidium maculosum		Megachilidae						http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time of june to october"
374	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=698886	Anthophora californica		Apidae	California digger					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time march to july"
375	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=698940	Anthophora urbana		Apidae	urbane digger					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time april to october"
376	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=699606	Melissodes communis alopex		Apidae						http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time june to august"
377	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=757559	Agapostemon texanus		Halictidae	Texas striped-sweat bee					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2927024	Salvia clevandii		Lamiaceae	fragrant sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time march to october"
378	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=654206	Andrena candida		Andrenidae	mock-orange miner bee					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2927024	Salvia clevandii		Lamiaceae	fragrant sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time february to june"
379	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=714820	Bombus melanopygus		Apidae	black-tailed bumble bee					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2927024	Salvia clevandii		Lamiaceae	fragrant sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time january to august"
380	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=684982	Xylocopa varipuncta		Apidae	valley carpenter bee					http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/2927024	Salvia clevandii		Lamiaceae	fragrant sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	"cities throughout california, flight time march to september"
381	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=757862	Halictus tripartitus		Halictidae						http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	cities throughout california
382	LiteratureRecord	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=766588	Melissodes tepida timberlakei		Apidae						http://purl.obolibrary.org/obo/RO_0002622		Visited reproductive parts	reproductive parts of flowers	http://purl.obolibrary.org/obo/PO_0009046	in nature	http://purl.obolibrary.org/obo/ENVO_01001226	https://www.gbif.org/species/7306439	Salvia chaedryoides		Lamiaceae	germander sage			United States of America	California														"Frankie, G., Feng, I., Thorp, R., Pawelek, J., Chase, M. H., Jadallah, C. C., & Rizzardi, M. (2019). Native and non-native plants attract diverse bees to urban gardens in California.Journal of Pollination Ecology,25."	Journal Article	Yes	Rachel Behm	cities throughout california
