interactionID	basisOfRecord	sourceTaxonId	sourceTaxonName	sourceFamilyName	sourceCommonName	sourceSexName	sourceSexID	interactionTypeId	isNegated	interactionTypeName	targetBodyPartName	targetBodyPartId	experimentalConditionName	experimentalConditionId	targetTaxonId	targetTaxonName	targetFamilyName	targetCommonName	country	stateProvince	county	verbatimLocality	localityId	locality	habitat	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	verbatimEventDate	eventDate	 	referenceDoi	referenceCitation	referenceType	primarySource	enteredBy	notes
	literatureRecord		Bombus	Apidae	Bumble Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Aptenia cordifolia	Aizoaceae	Red Apple' succulent	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Apis mellifera	Apidae	European Honey Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Aptenia cordifolia	Aizoaceae	Red Apple' succulent	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Coelioxys	Megachilidae	"Leaf-cutting Cuckoo Bee, Sharp-tailed Bees"			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Aptenia cordifolia	Aizoaceae	Red Apple' succulent	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Apis mellifera	Apidae	European Honey Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Agapanthus orientalis	Amaranthaceae	Lily of the Nile	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Bombus	Apidae	Bumble Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Agapanthus orientalis	Amaranthaceae	Lily of the Nile	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Apis mellifera	Apidae	European Honey Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Schinus molle	Anacardiaceae	California Pepper Tree	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Apis mellifera	Apidae	European Honey Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Schinus terebenthefolius	Anacardiaceae	Brazilian Peper Tree	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Ceratina	Apidae	Small Carpenter Bees			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Schinus terebenthefolius	Anacardiaceae	Brazilian Peper Tree	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Apis mellifera	Apidae	European Honey Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Eryngium	Apiaceae	"Sea Holly, Amethyst Eryngium"	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
	literatureRecord		Bombus	Apidae	Bumble Bee			http://www.ontobee.org/ontology/RO?iri=http://purl.obolibrary.org/obo/RO_0002622		visits flowers of	flower	http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0009046	in nature	http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01001226		Eryngium	Apiaceae	"Sea Holly, Amethyst Eryngium"	United States	California	Alameda	"Residential neighborhoods in the cities of Albany and Berkeley, San Francisco Bay Area, California"		Residential neighborhood	Ornamental Garden			0	275	March-October; 1999-2003	3/1/1993		10.2317/0407.08.1	"Frankie, G. W., Thorp, R. W., Schindler, M., Hernandez, J., Ertter, B., & Rizzardi, M. (2005). Ecological Patterns of Bees and Their Host Ornamental Flowers in Two Northern California Cities. Journal of the Kansas Entomological Society, 78(3), 227–246. https://doi.org/10.2317/0407.08.1"		TRUE	zachary_brown	Exotic plant to California
